paper_id,day,title,authors_short,authors,relevance,include_decision,editing_cluster,method_family,modality,reading_priority,best_use,editing_intent,evidence_basis,signals,exclusion_reason,paper_page,pdf,arxiv,abstract
464,2026-06-05,One-to-All Animation: Alignment-Free Character Animation and Image Pose Transfer,"Shijun Shi, Jing Xu, Zhihang Li et al.",Shijun Shi; Jing Xu; Zhihang Li; Chunli Peng; Xiaoda Yang; Lijing Lu; Kai Hu; Jiangning Zhang,强相关,include,身份、人像与虚拟试穿,Title-level unknown / Other,图像,Deep Read,作为人像、身份保持、虚拟试穿方向阅读，重点看身份/属性解耦和数据协议。,保持人物身份、服饰或面部属性，同时改变外观、姿态或穿搭。,CVF metadata title-level triage; cached abstract available for audit,image pose transfer; pose transfer; alignment,,https://openaccess.thecvf.com/content/CVPR2026/html/Shi_One-to-All_Animation_Alignment-Free_Character_Animation_and_Image_Pose_Transfer_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shi_One-to-All_Animation_Alignment-Free_Character_Animation_and_Image_Pose_Transfer_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22940,"Recent advances in diffusion models have greatly improved pose-driven character animation. However, existing methods are limited to spatially aligned reference-pose pairs with matched skeletal structures. Handling reference-pose misalignment remains unsolved. To address this, we present One-to-All Animation, a unified framework for high-fidelity character animation and image pose transfer for references with arbitrary layouts. First, to handle spatially misaligned reference, we reformulate training as a self-supervised outpainting task that transforms diverse-layout reference into a unified occluded-input format. Second, to process partially visible reference, we design a reference extractor for comprehensive identity feature extraction. Further, we integrate hybrid reference fusion attention to handle varying resolutions and dynamic sequence lengths. Finally, from the perspective of generation quality, we introduce identity-robust pose control that decouples appearance from skeletal structure to mitigate pose overfitting, and a token replace strategy for coherent long-video generation. Extensive experiments show that our method outperforms existing approaches. The code and model are available at https://github.com/ssj9596/One-to-All-Animation."
524,2026-06-05,Re-Align: Structured Reasoning-guided Alignment for In-Context Image Generation and Editing,"Runze He, Yiji Cheng, Tiankai Hang et al.",Runze He; Yiji Cheng; Tiankai Hang; Zhimin Li; Yu Xu; Zijin Yin; Shiyi Zhang; Wenxun Dai; Penghui Du; Ao Ma; Chunyu Wang; Qinglin Lu; Jizhong Han; Jiao Dai,中相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Skim -> Deep,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage; cached abstract available for audit,alignment,,https://openaccess.thecvf.com/content/CVPR2026/html/He_Re-Align_Structured_Reasoning-guided_Alignment_for_In-Context_Image_Generation_and_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/He_Re-Align_Structured_Reasoning-guided_Alignment_for_In-Context_Image_Generation_and_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2601.05124,"In-context image generation and editing (ICGE) enables users to specify visual concepts through interleaved image-text prompts, demanding precise understanding and faithful execution of user intent. Although recent unified multimodal models exhibit promising understanding capabilities, these strengths often fail to transfer effectively to image generation. We introduce Re-Align, a unified framework that bridges the gap between understanding and generation through structured reasoning-guided alignment. At its core lies the In-Context Chain-of-Thought (IC-CoT), a structured reasoning paradigm that decouples semantic guidance and reference association, providing clear textual target and mitigating confusion among reference images. Furthermore, Re-Align introduces an effective RL training scheme that leverages a surrogate reward to measure the alignment between structured reasoning text and the generated image, thereby improving the model's overall performance on ICGE tasks. Extensive experiments verify that Re-Align outperforms competitive methods of comparable model scale and resources on both in-context image generation and editing tasks."
532,2026-06-05,ObjectMorpher: 3D-Aware Image Editing via Deformable 3DGS,"Yuhuan Xie, Aoxuan Pan, Yi-Hua Huang et al.",Yuhuan Xie; Aoxuan Pan; Yi-Hua Huang; Chirui Chang; Peng Dai; Xin Yu; Xiaojuan Qi,强相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage; cached abstract available for audit,image editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Xie_ObjectMorpher_3D-Aware_Image_Editing_via_Deformable_3DGS_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xie_ObjectMorpher_3D-Aware_Image_Editing_via_Deformable_3DGS_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.28152,"Achieving precise, object-level control in image editing remains challenging: 2D methods lack 3D awareness and often yield ambiguous or implausible results, while existing 3D-aware approaches rely on heavy optimization or incomplete monocular reconstructions. We present ObjectMorpher, a unified, interactive framework that converts ambiguous 2D edits into geometry-grounded operations. ObjectMorpher lifts target instances with an image-to-3D generator into editable 3D Gaussian Splatting (3DGS), enabling fast, identity-preserving manipulation. Users drag control points; a graph-based non-rigid deformation with as-rigid-as-possible (ARAP) constraints ensures physically sensible shape and pose changes. A composite diffusion module harmonizes lighting, color, and boundaries for seamless reintegration. Across diverse categories, ObjectMorpher delivers fine-grained, photorealistic edits with superior controllability and efficiency, outperforming 2D drag and 3D-aware baselines on KID, LPIPS, SIFID, and user preference."
535,2026-06-05,GenErase: Generalizable and Semantically-Aware Concept Erasure in Diffusion Models,"Korada Sri Vardhana, Soma Biswas",Korada Sri Vardhana; Soma Biswas,强相关,include,概念擦除与模型治理,Diffusion Model,图像,Deep Read,作为安全编辑、模型治理与概念删除基线，重点看泛化、绕过与遗忘副作用。,从生成模型或输出行为中删除特定概念，兼顾安全和可控性。,CVF metadata title-level triage; cached abstract available for audit,concept erasure,,https://openaccess.thecvf.com/content/CVPR2026/html/Vardhana_GenErase_Generalizable_and_Semantically-Aware_Concept_Erasure_in_Diffusion_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Vardhana_GenErase_Generalizable_and_Semantically-Aware_Concept_Erasure_in_Diffusion_Models_CVPR_2026_paper.pdf,,"Text-to-Image (T2I) diffusion models power modern creative tools, but their open-ended generative nature raises safety, ethical, and copyright concerns. Retraining or fine-tuning to remove every unsafe or copyrighted concept is impractical, motivating training-free interventions that suppress specific semantics while preserving general visual quality. Existing guard-railing methods face a core trade-off: they are either rigid, failing to generalize to paraphrased or context-shifted prompts, or coarse, distorting unrelated content and fidelity. We present GenErase (GENeralizable ERAsure with SEmantic Awareness), a training-free, geometry-grounded framework for robust concept removal in diffusion models. GenErase enforces semantic orthogonality in the cross-attention value space via an explicit erase-and-replace operation, guided by a per-token preserve projector and a hard geometric gate. This design enables precise erasure, explicit protection of critical semantics, and stability across layers, paraphrases, and multi-concept cases. Extensive experiments on identity, object, and style erasure, together with a new GenBench-40 benchmark, show that GenErase achieves state-of-the-art erasure fidelity and superior paraphrase-level generalization, establishing it as a practical and principled guard-rail for safe, real-time diffusion deployment."
575,2026-06-05,CARE-Edit: Condition-Aware Routing of Experts for Contextual Image Editing,"Yucheng Wang, Zedong Wang, Yuetong Wu et al.",Yucheng Wang; Zedong Wang; Yuetong Wu; Yue Ma; Dan Xu,强相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage; cached abstract available for audit,image editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_CARE-Edit_Condition-Aware_Routing_of_Experts_for_Contextual_Image_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_CARE-Edit_Condition-Aware_Routing_of_Experts_for_Contextual_Image_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.08589,"Unified diffusion editors often rely on a fixed, shared backbone for diverse tasks, suffering from task interference and poor adaptation to heterogeneous demands (e.g., local vs global, semantic vs photometric). In particular, prevalent ControlNet and OmniControl variants combine multiple conditioning signals (e.g., text, mask, reference) via static concatenation or additive adapters which cannot dynamically prioritize or suppress conflicting modalities, thus resulting in artifacts like color bleeding across mask boundaries, identity or style drift, and unpredictable behavior under multi-condition inputs. To address this, we propose Condition-Aware Routing of Experts (CARE-Edit) that aligns model computation with specific editing competencies. At its core, a lightweight latent-attention router assigns encoded diffusion tokens to four specialized experts--Text, Mask, Reference, and Base--based on multi-modal conditions and diffusion timesteps: (i) a Mask Repaint module first refines coarse user-defined masks for precise spatial guidance; (ii) the router applies sparse top-K selection to dynamically allocate computation to the most relevant experts; (iii) a Latent Mixture module subsequently fuses expert outputs, coherently integrating semantic, spatial, and stylistic information to the base images. Experiments validate CARE-Edit's strong performance on contextual editing tasks, including erasure, replacement, text-driven edits, and style transfer. Empirical analysis further reveals task-specific behavior of specialized experts, showcasing the importance of dynamic, condition-aware processing to mitigate multi-condition conflicts. The source code, models, and dataset will be publicly available."
640,2026-06-05,Dynamic-eDiTor: Training-Free Text-Driven 4D Scene Editing with Multimodal Diffusion Transformer,"Dong In Lee, Hyungjun Doh, Seunggeun Chi et al.",Dong In Lee; Hyungjun Doh; Seunggeun Chi; Runlin Duan; Sangpil Kim; Karthik Ramani,强相关,include,视频、多视图与3D编辑,Diffusion Transformer,3D / 多视图,Deep Read,作为从单图编辑扩展到视频、多视图和3D场景的一致性方向阅读。,把编辑扩展到跨帧、跨视角或三维场景，关键是时空一致性。,CVF metadata title-level triage; cached abstract available for audit,scene editing; 4d scene editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_Dynamic-eDiTor_Training-Free_Text-Driven_4D_Scene_Editing_with_Multimodal_Diffusion_Transformer_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_Dynamic-eDiTor_Training-Free_Text-Driven_4D_Scene_Editing_with_Multimodal_Diffusion_Transformer_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.00677,"Recent progress in 4D representations, such as Dynamic NeRF and 4D Gaussian Splatting (4DGS), has enabled dynamic 4D scene reconstruction. However, text-driven 4D scene editing remains under-explored due to the challenge of ensuring both multi-view and temporal consistency across space and time during editing.Existing studies rely on 2D diffusion models that edit frames independently, often causing motion distortion, geometric drift, and incomplete editing. We introduce Dynamic-eDiTor, a training-free text-driven 4D editing framework leveraging Multimodal Diffusion Transformer (MM-DiT) and 4DGS. This mechanism consists of Spatio-Temporal Sub-Grid Attention (STGA) for locally consistent cross-view and temporal fusion, and Context Token Propagation (CTP) for global propagation via token inheritance and optical-flow-guided token replacement. Together, these components allow Dynamic-eDiTor to perform seamless, globally consistent multi-view video without additional training and directly optimize pre-trained source 4DGS.Extensive experiments on multi-view video dataset DyNeRF demonstrate that our method achieves superior editing fidelity and both multi-view and temporal consistency prior approaches. Project page for results and code: https://di-lee.github.io/dynamic-eDiTor"
676,2026-06-05,The Devil is in Attention Sharing: Improving Complex Non-rigid Image Editing Faithfulness via Attention Synergy,"Zhuo Chen, Fanyue Wei, Runze Xu et al.",Zhuo Chen; Fanyue Wei; Runze Xu; Jingjing Li; Lixin Duan; Angela Yao; Wen Li,强相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage; cached abstract available for audit,image editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_The_Devil_is_in_Attention_Sharing_Improving_Complex_Non-rigid_Image_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_The_Devil_is_in_Attention_Sharing_Improving_Complex_Non-rigid_Image_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.14423,"Training-free image editing with large diffusion models has become practical, yet faithfully performing complex non-rigid edits (e.g., pose or shape changes) remains highly challenging. We identify a key underlying cause: attention collapse in existing attention sharing mechanisms, where either positional embeddings or semantic features dominate visual content retrieval, leading to over-editing or under-editing.To address this issue, we introduce SynPS, a method that Synergistically leveragesPositional embeddings and Semantic information for faithful non-rigid image editing. We first propose an editing measurement that quantifies the required editing magnitude at each denoising step. Based on this measurement, we design an attention synergy pipeline that dynamically modulates the influence of positional embeddings, enabling SynPS to balance semantic modifications and fidelity preservation.By adaptively integrating positional and semantic cues, SynPS effectively avoids both over- and under-editing. Extensive experiments on public and newly curated benchmarks demonstrate the superior performance and faithfulness of our approach. Our code will be publicly released."
754,2026-06-05,"NOVA: Sparse Control, Dense Synthesis for Pair-Free Video Editing","Tianlin Pan, Jiayi Dai, Chenpu Yuan et al.",Tianlin Pan; Jiayi Dai; Chenpu Yuan; Zhengyao Lv; Binxin Yang; Hubery Yin; Chen Li; Jing Lyu; Caifeng Shan; Chenyang Si,强相关,include,视频、多视图与3D编辑,Title-level unknown / Other,视频,Deep Read,作为从单图编辑扩展到视频、多视图和3D场景的一致性方向阅读。,把编辑扩展到跨帧、跨视角或三维场景，关键是时空一致性。,CVF metadata title-level triage,video editing; control,,https://openaccess.thecvf.com/content/CVPR2026/html/Pan_NOVA_Sparse_Control_Dense_Synthesis_for_Pair-Free_Video_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Pan_NOVA_Sparse_Control_Dense_Synthesis_for_Pair-Free_Video_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.02802,
756,2026-06-05,CREval: An Automated Interpretable Evaluation for Creative Image Manipulation under Complex Instructions,"Chonghuinan Wang, Zihan Chen, Yuxiang Wei et al.",Chonghuinan Wang; Zihan Chen; Yuxiang Wei; Tianyi Jiang; Xiaohe Wu; Fan Li; Wangmeng Zuo; Hongxun Yao,中相关,include,直接编辑、修补与合成,Title-level unknown / Other,多模态指令,Skim -> Deep,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage,image manipulation,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_CREval_An_Automated_Interpretable_Evaluation_for_Creative_Image_Manipulation_under_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_CREval_An_Automated_Interpretable_Evaluation_for_Creative_Image_Manipulation_under_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.26174,
781,2026-06-05,Style-GRPO: Semantic-Aware Preference Optimization for Image Style Transfer Guided by Reward Modeling,"Jianbin Zhao, Chaoran Feng, Miao Yu et al.",Jianbin Zhao; Chaoran Feng; Miao Yu; Yingtao Li; Zhenyu Tang; Wangbo Yu; Yian Zhao; Xiaomin Li; Li Yuan; Yonghong Tian,中相关,include,风格、纹理与外观编辑,Title-level unknown / Other,图像,Skim -> Deep,作为外观迁移、风格/纹理素材生成模块阅读，重点看语义与纹理一致性。,改变纹理、风格、颜色或外观层，常作为图像编辑工作流的素材/外观模块。,CVF metadata title-level triage,style transfer,,https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_Style-GRPO_Semantic-Aware_Preference_Optimization_for_Image_Style_Transfer_Guided_by_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_Style-GRPO_Semantic-Aware_Preference_Optimization_for_Image_Style_Transfer_Guided_by_CVPR_2026_paper.pdf,,
897,2026-06-05,HiFi-Inpaint: Towards High-Fidelity Reference-Based Inpainting for Generating Detail-Preserving Human-Product Images,"Yichen Liu, Donghao Zhou, Jie Wang et al.",Yichen Liu; Donghao Zhou; Jie Wang; Xin Gao; Guisheng Liu; Jiatong Li; Quanwei Zhang; Qiang Lyu; Lanqing Guo; Shilei Wen; Weiqiang Wang; Pheng-Ann Heng,强相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage,inpainting,,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_HiFi-Inpaint_Towards_High-Fidelity_Reference-Based_Inpainting_for_Generating_Detail-Preserving_Human-Product_Images_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_HiFi-Inpaint_Towards_High-Fidelity_Reference-Based_Inpainting_for_Generating_Detail-Preserving_Human-Product_Images_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.02210,
948,2026-06-05,Vanast: Virtual Try-On with Human Image Animation via Synthetic Triplet Supervision,"Hyunsoo Cha, Wonjung Woo, Byungjun Kim et al.",Hyunsoo Cha; Wonjung Woo; Byungjun Kim; Hanbyul Joo,强相关,include,身份、人像与虚拟试穿,Title-level unknown / Other,人像 / 人体,Deep Read,作为人像、身份保持、虚拟试穿方向阅读，重点看身份/属性解耦和数据协议。,保持人物身份、服饰或面部属性，同时改变外观、姿态或穿搭。,CVF metadata title-level triage,virtual try-on; try-on,,https://openaccess.thecvf.com/content/CVPR2026/html/Cha_Vanast_Virtual_Try-On_with_Human_Image_Animation_via_Synthetic_Triplet_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Cha_Vanast_Virtual_Try-On_with_Human_Image_Animation_via_Synthetic_Triplet_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.04934,
1011,2026-06-05,EditCtrl: Disentangled Local and Global Control for Real-Time Generative Video Editing,"Yehonathan Litman, Shikun Liu, Dario Seyb et al.",Yehonathan Litman; Shikun Liu; Dario Seyb; Nicholas Milef; Yang Zhou; Carl Marshall; Shubham Tulsiani; Caleb Leak,强相关,include,视频、多视图与3D编辑,Title-level unknown / Other,视频,Deep Read,作为从单图编辑扩展到视频、多视图和3D场景的一致性方向阅读。,把编辑扩展到跨帧、跨视角或三维场景，关键是时空一致性。,CVF metadata title-level triage,video editing; control,,https://openaccess.thecvf.com/content/CVPR2026/html/Litman_EditCtrl_Disentangled_Local_and_Global_Control_for_Real-Time_Generative_Video_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Litman_EditCtrl_Disentangled_Local_and_Global_Control_for_Real-Time_Generative_Video_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.15031,
1044,2026-06-05,PG-VTON: Single-Pass Training-Free Virtual Try-On via Patch-Guided Reference Alignment,"Guohao Zhao, Yuxin Peng",Guohao Zhao; Yuxin Peng,强相关,include,身份、人像与虚拟试穿,Title-level unknown / Other,人像 / 人体,Deep Read,作为人像、身份保持、虚拟试穿方向阅读，重点看身份/属性解耦和数据协议。,保持人物身份、服饰或面部属性，同时改变外观、姿态或穿搭。,CVF metadata title-level triage,virtual try-on; try-on; alignment,,https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_PG-VTON_Single-Pass_Training-Free_Virtual_Try-On_via_Patch-Guided_Reference_Alignment_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_PG-VTON_Single-Pass_Training-Free_Virtual_Try-On_via_Patch-Guided_Reference_Alignment_CVPR_2026_paper.pdf,,
1103,2026-06-05,InstantRetouch: Efficient and High-Fidelity Instruction-Guided Image Retouching with Bilateral Space,"Jiarui Wu, Yujin Wang, Ruikang Li et al.",Jiarui Wu; Yujin Wang; Ruikang Li; Fan Zhang; Mingde Yao; Tianfan Xue,强相关,include,直接编辑、修补与合成,Title-level unknown / Other,多模态指令,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage,image retouching,,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_InstantRetouch_Efficient_and_High-Fidelity_Instruction-Guided_Image_Retouching_with_Bilateral_Space_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_InstantRetouch_Efficient_and_High-Fidelity_Instruction-Guided_Image_Retouching_with_Bilateral_Space_CVPR_2026_paper.pdf,,
1165,2026-06-05,UniDef: Universal Defense Against Unauthorized Image Manipulation,"Mingwen Shao, Lingzhuang Meng, Xiang Lv et al.",Mingwen Shao; Lingzhuang Meng; Xiang Lv; Mengyao Wu; Xinyuan Chen; Qiao Zhang; Chang Liu; Yuanjian Qiao; Chao Dong,中相关,include,直接编辑、修补与合成,Title-level unknown / Other,图像,Skim -> Deep,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage,image manipulation,,https://openaccess.thecvf.com/content/CVPR2026/html/Shao_UniDef_Universal_Defense_Against_Unauthorized_Image_Manipulation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Shao_UniDef_Universal_Defense_Against_Unauthorized_Image_Manipulation_CVPR_2026_paper.pdf,,
1205,2026-06-05,DiffDecompose: Layer-Wise Decomposition of Alpha-Composited Images via Diffusion Transformers,"Zitong Wang, Hang Zhao, Qianyu Zhou et al.",Zitong Wang; Hang Zhao; Qianyu Zhou; Xuequan Lu; Xiangtai Li; Hao Yang; Bo Yang; Yiren Song,中相关,include,局部控制与条件引导,Diffusion Transformer,图像,Skim -> Deep,作为区域编辑/提示控制模块阅读，重点看控制粒度与跨对象干扰。,提供区域、token、prompt、adapter 或参考图约束，减少编辑串扰。,CVF metadata title-level triage,composited; layer; layer-wise,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_DiffDecompose_Layer-Wise_Decomposition_of_Alpha-Composited_Images_via_Diffusion_Transformers_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_DiffDecompose_Layer-Wise_Decomposition_of_Alpha-Composited_Images_via_Diffusion_Transformers_CVPR_2026_paper.pdf,https://arxiv.org/abs/2505.21541,
1230,2026-06-05,Diffusion-Based Makeup Transfer with Facial Region-Aware Makeup Features,"Zheng Gao, Debin Meng, Yunqi Miao et al.",Zheng Gao; Debin Meng; Yunqi Miao; Zhensong Zhang; Songcen Xu; Ioannis Patras; Jifei Song,强相关,include,身份、人像与虚拟试穿,Diffusion Model,人像 / 人体,Deep Read,作为人像、身份保持、虚拟试穿方向阅读，重点看身份/属性解耦和数据协议。,保持人物身份、服饰或面部属性，同时改变外观、姿态或穿搭。,CVF metadata title-level triage,makeup transfer; region,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Diffusion-Based_Makeup_Transfer_with_Facial_Region-Aware_Makeup_Features_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_Diffusion-Based_Makeup_Transfer_with_Facial_Region-Aware_Makeup_Features_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.20012,
1315,2026-06-05,FlowDirector: Training-Free Flow Steering for Precise Text-to-Video Editing,"Guangzhao Li, Yanming Yang, Chenxi Song et al.",Guangzhao Li; Yanming Yang; Chenxi Song; Xiaohong Liu; Chi Zhang,强相关,include,视频、多视图与3D编辑,Title-level unknown / Other,视频,Deep Read,作为从单图编辑扩展到视频、多视图和3D场景的一致性方向阅读。,把编辑扩展到跨帧、跨视角或三维场景，关键是时空一致性。,CVF metadata title-level triage,video editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Li_FlowDirector_Training-Free_Flow_Steering_for_Precise_Text-to-Video_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_FlowDirector_Training-Free_Flow_Steering_for_Precise_Text-to-Video_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.05046,
1371,2026-06-06,FlowDC: Flow-Based Decoupling-Decay for Complex Image Editing,"Yilei Jiang, Zhen Wang, Yanghao Wang et al.",Yilei Jiang; Zhen Wang; Yanghao Wang; Jun Yu; Yueting Zhuang; Jun Xiao; Long Chen,强相关,include,直接编辑、修补与合成,Flow / Rectified Flow,图像,Deep Read,作为图像编辑主线方法精读，重点看编辑保真度、局部不串扰和推理步数。,直接改变图像局部或整体内容，包括指令编辑、修补、合成、属性操控。,CVF metadata title-level triage,image editing,,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_FlowDC_Flow-Based_Decoupling-Decay_for_Complex_Image_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jiang_FlowDC_Flow-Based_Decoupling-Decay_for_Complex_Image_Editing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.11395,
1379,2026-06-06,NaTex: Seamless Texture Generation as Latent Color Diffusion,"Zeqiang Lai, Yunfei Zhao, Zibo Zhao et al.",Zeqiang Lai; Yunfei Zhao; Zibo Zhao; Xin Yang; Xin Huang; Jingwei Huang; Xiangyu Yue; Chunchao Guo,中相关,include,风格、纹理与外观编辑,Diffusion Model,图像,Skim -> Deep,作为外观迁移、风格/纹理素材生成模块阅读，重点看语义与纹理一致性。,改变纹理、风格、颜色或外观层，常作为图像编辑工作流的素材/外观模块。,CVF metadata title-level triage,texture generation,,https://openaccess.thecvf.com/content/CVPR2026/html/Lai_NaTex_Seamless_Texture_Generation_as_Latent_Color_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lai_NaTex_Seamless_Texture_Generation_as_Latent_Color_Diffusion_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.16317,
